Investment Time	Company Name	Website	Business Area	Round	Investment $	Segment in MS	Azure(Y/N)	Ali(Y/N)	AWS(Y/N)	cloud service they use	url	agent
23-Dec-16	????		????	C?	1???			Y				
21-Dec-16	LinkedSee??		????	A?	5000????					"Beijing Sankuai Technology Co.,Ltd."		
21-Dec-16	????		????	A?	5000????					Ucloud		
19-Oct-16	????		??	Pre-A?	??????					"Beijing Qishang Online Data and Communication Tec, Inc."		
13-Oct-16	?????		????	B?	1500???					CHINANET Guangdong province network		
8-Oct-16	???		????	A?	2000???			Y				
27-Sep-16	?????Trio.AI		????	Pre-A?	2000????					ScaleMatrix		
26-Aug-16	SnapTube????		????	A?	??????				Y			
24-Aug-16	?????		??	A?	1????					"Tencent cloud computing (Beijing) Co., Ltd."		
14-Aug-16	????		????	B?	1????					CHINANET Guangdong province network		
8-Aug-16	????-????		????	B?	1????			Y				
5-Aug-16	????		????	B?	1????					"Beijing New Power Technology Co.,Ltd"		
2-Aug-16	??APP		????	C?	3.45????			Y				
1-Aug-16	??????		????	B?	7500????			Y				
25-Jul-16	????		??	B?	1.35????					"JinHuaShiMeiDiYaWangLuoKeJiYouXianGongSi Co.,ltd"		
15-Jul-16	???		??	???	??????			Y				
22-Jun-16	????		????	B?	5000????			Y				
21-Jun-16	????		????	B?	????????					Chinanet Jiangsu Province Network		
21-Jun-16	??FM		????	A?	1.7????					CNLink Network Technology Ltd.		
21-Jun-16	????		????	C?	1.7????					CNLink Network Technology Ltd.		
2-Jun-16	????		????	A?	??????							
27-Apr-16	??????		????	A?	??????							
12-Jan-16	????(?????)		????	A?	??????							
1-Jul-15	????		????	C?	???							
26-Oct-14	??APP		????	A?	??????							
21-Oct-14	????		????	???	2000????							
1-Oct-14	???		??	A?	1000???							
1-Jun-11	??????		????	A?	200???							
1-Jan-11	Rye Studio?????		??	A?	?????							
1-Jan-10	???		????	A?	?????							
												
												
												
												
												
29-Nov-16	????	www.innoventbio.com	????	D?	2.6???					XinNet Technology Corp.	http://www.innoventbio.com	XinNet Technology Corp.
17-Nov-16	????	http://www.ruhnn.com/	????	IPO???	4.3????			Y			http://www.ruhnn.com/	"Aliyun Computing Co., LTD"
17-Nov-16	????	http://www.ruhnn.com/	????	IPO???	4.3????			Y			http://www.ruhnn.com/	"Aliyun Computing Co., LTD"
26-Oct-15	????	http://www.ruhnn.com/	????	B?	1200????						http://www.ruhnn.com/	"Aliyun Computing Co., LTD"
26-Oct-15	????	http://www.ruhnn.com/	????	B?	1200????						http://www.ruhnn.com/	"Aliyun Computing Co., LTD"
23-Sep-16	???	www.zybang.com/	??	B?	6000???					"Beijing Baidu Netcom Science and Technology Co., Ltd."	http://www.zybang.com/	"Beijing Baidu Netcom Science and Technology Co., Ltd."
23-Sep-16	???	www.zybang.com/	??	B?	6000???					"Beijing Baidu Netcom Science and Technology Co., Ltd."	http://www.zybang.com/	"Beijing Baidu Netcom Science and Technology Co., Ltd."
