資料月份,金額單位,金融機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用餘額,未到期分期付款餘額,當月簽帳金額,當月預借現金金額,逾期三個月以上帳款占應收帳款餘額含催收款之比率,逾期六個月以上帳款占應收帳款餘額含催收款之比率,備抵呆帳提足率,當月轉銷呆帳金額,當年度轉銷呆帳金額累計至資料月份
201611,"新臺幣千元 ,卡",臺灣銀行,232084.0,111037.0,2060.0,1403.0,227764.0,9141.0,635976.0,1323.0,0.37,0.08,531.9,1226.0,10211.0
201611,"新臺幣千元 ,卡",臺灣土地銀行,231633.0,128021.0,3324.0,988.0,286575.0,52501.0,865876.0,1102.0,0.43,0.28,1000.64,1728.0,16166.0
201611,"新臺幣千元 ,卡",合作金庫商業銀行,447070.0,270979.0,13897.0,3707.0,643011.0,236095.0,2592231.0,3406.0,0.36,0.31,290.39,7776.0,42112.0
201611,"新臺幣千元 ,卡",第一商業銀行,949771.0,638761.0,10289.0,10740.0,1442600.0,1193942.0,4433394.0,18204.0,0.17,0.0,1836.2,5986.0,62750.0
201611,"新臺幣千元 ,卡",華南商業銀行,919883.0,669791.0,43145.0,9308.0,814346.0,1916067.0,4474420.0,1720.0,0.16,0.0,489.54,0.0,36400.0
201611,"新臺幣千元 ,卡",彰化商業銀行,424956.0,208007.0,2873.0,2889.0,371314.0,144251.0,1269813.0,788.0,0.39,0.01,562.81,2290.0,24689.0
201611,"新臺幣千元 ,卡",上海商業儲蓄銀行,355790.0,177372.0,2243.0,1977.0,711584.0,176038.0,1042444.0,6587.0,0.92,0.39,664.09,0.0,26663.0
201611,"新臺幣千元 ,卡",台北富邦商業銀行,2380252.0,1735310.0,26169.0,24736.0,6203753.0,9231464.0,17556948.0,54211.0,0.14,0.0,809.59,24423.0,261438.0
201611,"新臺幣千元 ,卡",國泰世華商業銀行,5857165.0,4142569.0,82936.0,121487.0,15060770.0,11234884.0,39872111.0,258308.0,0.12,0.0,2455.27,30563.0,332411.0
201611,"新臺幣千元 ,卡",高雄銀行,10186.0,4582.0,148.0,40.0,8606.0,98.0,144662.0,193.0,0.2,0.11,355.93,0.0,916.0
201611,"新臺幣千元 ,卡",兆豐國際商業銀行,605303.0,414825.0,8199.0,8069.0,1162070.0,874180.0,2526307.0,5736.0,0.19,0.07,548.72,2830.0,38464.0
201611,"新臺幣千元 ,卡",花旗(台灣)商業銀行,2885489.0,2451088.0,18180.0,39204.0,15776258.0,10210562.0,20292885.0,196301.0,0.53,0.1,600.75,119726.0,713813.0
201611,"新臺幣千元 ,卡",澳盛(台灣)商業銀行,552226.0,332581.0,5114.0,4434.0,2966456.0,1567446.0,3074745.0,23475.0,0.38,0.0,413.01,15002.0,151618.0
201611,"新臺幣千元 ,卡",臺灣中小企業銀行,330015.0,125971.0,821.0,1482.0,449799.0,84414.0,970918.0,3916.0,0.18,0.03,140.46,1971.0,23766.0
201611,"新臺幣千元 ,卡",渣打國際商業銀行,350557.0,212022.0,1740.0,3909.0,1861228.0,596932.0,1474813.0,9447.0,0.34,0.0,560.11,7803.0,122524.0
201611,"新臺幣千元 ,卡",台中商業銀行,202330.0,78928.0,3119.0,1545.0,259868.0,43515.0,531509.0,0.0,1.48,0.11,329.5,9071.0,25553.0
201611,"新臺幣千元 ,卡",匯豐(台灣)商業銀行,595787.0,408799.0,6019.0,9694.0,2641052.0,1604141.0,4425204.0,52846.0,0.28,0.0,2420.65,7715.0,83079.0
201611,"新臺幣千元 ,卡",華泰商業銀行,10145.0,6177.0,9.0,16.0,19919.0,2090.0,50713.0,0.0,0.78,0.29,218.36,0.0,1758.0
201611,"新臺幣千元 ,卡",臺灣新光商業銀行,904310.0,482356.0,7656.0,8655.0,2022053.0,1417474.0,4390952.0,13018.0,0.24,0.04,229.02,7119.0,64195.0
201611,"新臺幣千元 ,卡",陽信商業銀行,89050.0,50510.0,1904.0,790.0,245487.0,55269.0,297304.0,375.0,0.69,0.0,712.91,0.0,10883.0
201611,"新臺幣千元 ,卡",三信商業銀行,17135.0,11062.0,140.0,62.0,30047.0,14729.0,105690.0,35.0,0.66,0.0,4506.09,450.0,2623.0
201611,"新臺幣千元 ,卡",聯邦商業銀行,2016599.0,1065917.0,38820.0,31506.0,4850828.0,2661040.0,7124132.0,107301.0,0.28,0.0,120.48,15881.0,155832.0
201611,"新臺幣千元 ,卡",遠東國際商業銀行,1834442.0,1068005.0,115106.0,66110.0,4683220.0,5782308.0,4676787.0,233713.0,0.39,0.13,100.42,17218.0,175283.0
201611,"新臺幣千元 ,卡",元大商業銀行,568331.0,359748.0,14592.0,4305.0,469272.0,513068.0,4498547.0,679.0,0.13,0.0,1164.58,1189.0,18362.0
201611,"新臺幣千元 ,卡",永豐商業銀行,1955180.0,1313377.0,20467.0,15715.0,4868194.0,3635514.0,6900916.0,119583.0,0.36,0.0,582.33,11889.0,163146.0
201611,"新臺幣千元 ,卡",玉山商業銀行,4268236.0,2974673.0,52923.0,25310.0,11387366.0,8525341.0,23307355.0,193404.0,0.26,0.04,968.91,38286.0,419250.0
201611,"新臺幣千元 ,卡",凱基商業銀行,502604.0,198367.0,11079.0,17473.0,1085080.0,357194.0,1030572.0,11451.0,0.98,0.68,145.71,5312.0,76564.0
201611,"新臺幣千元 ,卡",星展(台灣)商業銀行,12717.0,5806.0,31.0,74.0,21519.0,52.0,55911.0,12.0,1.82,0.0,595.68,0.0,2190.0
201611,"新臺幣千元 ,卡",台新國際商業銀行,3723566.0,2593486.0,82338.0,12172.0,10173909.0,12432018.0,18822569.0,153983.0,0.23,0.0,607.07,23529.0,251667.0
201611,"新臺幣千元 ,卡",大眾商業銀行,601914.0,325306.0,8626.0,6932.0,937516.0,3691761.0,2079737.0,76834.0,0.0,0.0,493.63,11213.0,113820.0
201611,"新臺幣千元 ,卡",日盛國際商業銀行,175602.0,100610.0,429.0,1855.0,441866.0,204570.0,400945.0,5295.0,0.26,0.0,233.96,1434.0,15555.0
201611,"新臺幣千元 ,卡",安泰商業銀行,181794.0,70147.0,778.0,457.0,372433.0,1294071.0,457023.0,1265.0,0.72,0.24,309.37,0.0,10462.0
201611,"新臺幣千元 ,卡",中國信託商業銀行,5961487.0,3842312.0,56109.0,39963.0,14796100.0,13354546.0,27223129.0,769539.0,0.16,0.0,606.77,59773.0,674715.0
201611,"新臺幣千元 ,卡",台灣樂天信用卡(股)公司,195878.0,145183.0,14608.0,504.0,138263.0,226032.0,768109.0,2153.0,0.13,0.02,311.91,144.0,1654.0
201611,"新臺幣千元 ,卡",台灣美國運通國際(股)公司,169817.0,113200.0,3662.0,2727.0,347775.0,0.0,4006202.0,1431.0,0.3,0.0,253.3,3564.0,25895.0
201611,"新臺幣千元 ,卡",台灣永旺信用卡(股)公司,81697.0,35921.0,122.0,863.0,266172.0,42597.0,139079.0,2211.0,0.89,0.18,2041.26,1368.0,20855.0
201610,"新臺幣千元 ,卡",臺灣銀行,231086.0,109903.0,2025.0,912.0,229912.0,8893.0,626671.0,1329.0,0.27,0.15,555.37,1470.0,8985.0
201610,"新臺幣千元 ,卡",臺灣土地銀行,229206.0,125752.0,3176.0,787.0,281954.0,51116.0,797044.0,655.0,0.44,0.25,1009.39,1206.0,14438.0
201610,"新臺幣千元 ,卡",合作金庫商業銀行,436746.0,266407.0,6108.0,4162.0,633630.0,213283.0,2390839.0,3521.0,0.49,0.43,270.3,0.0,34336.0
201610,"新臺幣千元 ,卡",第一商業銀行,946707.0,633912.0,8706.0,9499.0,1433519.0,1094513.0,4184047.0,16932.0,0.18,0.0,1801.28,5981.0,56764.0
201610,"新臺幣千元 ,卡",華南商業銀行,886715.0,641284.0,36195.0,9378.0,753280.0,1837893.0,3887109.0,1185.0,0.11,0.0,617.01,0.0,36400.0
201610,"新臺幣千元 ,卡",彰化商業銀行,429522.0,208979.0,2634.0,2983.0,365984.0,155578.0,1309604.0,660.0,0.4,0.01,589.49,2075.0,22399.0
201610,"新臺幣千元 ,卡",上海商業儲蓄銀行,355524.0,177109.0,1516.0,1750.0,710737.0,177821.0,972286.0,6652.0,0.7,0.23,909.09,5493.0,26663.0
201610,"新臺幣千元 ,卡",台北富邦商業銀行,2378819.0,1719001.0,25367.0,27957.0,6245009.0,8767266.0,16395327.0,52190.0,0.15,0.0,754.33,24852.0,237015.0
201610,"新臺幣千元 ,卡",國泰世華商業銀行,5895716.0,4076257.0,113671.0,37441.0,14785463.0,10672774.0,31917166.0,234466.0,0.14,0.0,2420.1,27376.0,301848.0
201610,"新臺幣千元 ,卡",高雄銀行,10078.0,4591.0,127.0,44.0,8911.0,105.0,165212.0,126.0,0.2,0.11,358.58,1.0,916.0
201610,"新臺幣千元 ,卡",兆豐國際商業銀行,605173.0,411817.0,7154.0,7138.0,1167392.0,798179.0,2535481.0,5665.0,0.18,0.08,559.58,2312.0,35634.0
201610,"新臺幣千元 ,卡",花旗(台灣)商業銀行,2894719.0,2452066.0,16731.0,29514.0,16247443.0,9875595.0,19790574.0,180282.0,0.66,0.18,483.95,0.0,594087.0
201610,"新臺幣千元 ,卡",澳盛(台灣)商業銀行,551596.0,335926.0,4701.0,4258.0,3021523.0,1566481.0,2975740.0,23676.0,0.41,0.0,391.65,14212.0,136616.0
201610,"新臺幣千元 ,卡",臺灣中小企業銀行,330676.0,125780.0,640.0,1585.0,455867.0,83972.0,952511.0,3487.0,0.14,0.01,143.12,1351.0,21795.0
201610,"新臺幣千元 ,卡",渣打國際商業銀行,352901.0,213131.0,1315.0,4058.0,1873945.0,586442.0,1365805.0,9637.0,0.34,0.0,569.88,11758.0,114721.0
201610,"新臺幣千元 ,卡",台中商業銀行,200952.0,78351.0,3463.0,1304.0,268403.0,43534.0,503943.0,0.0,2.53,1.08,207.91,0.0,16482.0
201610,"新臺幣千元 ,卡",匯豐(台灣)商業銀行,599462.0,411187.0,5366.0,9807.0,2668181.0,1569961.0,4246224.0,49071.0,0.26,0.0,2579.14,7829.0,75364.0
201610,"新臺幣千元 ,卡",華泰商業銀行,10160.0,6236.0,13.0,27.0,20068.0,2383.0,53306.0,0.0,0.4,0.0,242.02,0.0,1758.0
