"companyCategory";"currency";"salary";"language";"maxMin"
"Bigdata";"EUD";48636,36364;"python";"max"
"Bigdata";"GBP";55545,45455;"python";"max"
"Bigdata";"INR";1660000;"python";"max"
"Bigdata";"USD";118095;"python";"max"
"Bigdata";"YEN";8000;"python";"max"
"HR recruit";"GBP";55000;"python";"max"
"HR recruit";"INR";920357,1429;"python";"max"
"HR recruit";"USD";119000;"python";"max"
"IOT";"EUD";57500;"python";"max"
"IOT";"GBP";42666,66667;"python";"max"
"IOT";"INR";757272,7273;"python";"max"
"IOT";"USD";114125;"python";"max"
"IOT";"YEN";30000;"python";"max"
"facshion tech";"EUD";56250;"python";"max"
"facshion tech";"GBP";70000;"python";"max"
"facshion tech";"INR";1112500;"python";"max"
"facshion tech";"USD";133076,9231;"python";"max"
"financial service";"EUD";58500;"python";"max"
"financial service";"GBP";75000;"python";"max"
"financial service";"INR";1160000;"python";"max"
"financial service";"USD";141129,0323;"python";"max"
"fintech";"GBP";45625;"python";"max"
"fintech";"INR";1625000;"python";"max"
"fintech";"USD";140730,7692;"python";"max"
"food";"INR";1070769,231;"python";"max"
"food";"USD";112333,3333;"python";"max"
"location based serviced";"EUD";55333,33333;"python";"max"
"location based serviced";"INR";990000;"python";"max"
"location based serviced";"USD";115071,4286;"python";"max"
"on line travel";"EUD";55500;"python";"max"
"on line travel";"GBP";45000;"python";"max"
"on line travel";"INR";1520000;"python";"max"
"on line travel";"USD";110307,6923;"python";"max"
"social media market";"EUD";18000;"python";"max"
"social media market";"GBP";45000;"python";"max"
"social media market";"INR";2e+06;"python";"max"
"social media market";"USD";117222,2222;"python";"max"
"social media platform";"GBP";75000;"python";"max"
"social media platform";"USD";88666,66667;"python";"max"
"startup";"GBP";60000;"python";"max"
"startup";"INR";830000;"python";"max"
"startup";"USD";112000;"python";"max"
"web development";"EUD";45000;"python";"max"
"web development";"INR";1004090,909;"python";"max"
"web development";"USD";95571,42857;"python";"max"
"small and medium business";"EUD";21000;"python";"max"
"small and medium business";"GBP";50000;"python";"max"
"small and medium business";"USD";123809,5238;"python";"max"
"enterpriise software";"EUD";40000;"python";"max"
"enterpriise software";"GBP";65000;"python";"max"
"enterpriise software";"INR";830000;"python";"max"
"enterpriise software";"USD";123606,0606;"python";"max"
"enterpriise software B2B";"EUD";50000;"python";"max"
"enterpriise software B2B";"GBP";65000;"python";"max"
"enterpriise software B2B";"INR";1025000;"python";"max"
"enterpriise software B2B";"USD";111600;"python";"max"
"healthcare";"GBP";70000;"python";"max"
"healthcare";"INR";1666666,667;"python";"max"
"healthcare";"USD";118895,8333;"python";"max"
"advertisement";"INR";820000;"python";"max"
"advertisement";"USD";134811,3208;"python";"max"
"healthcare";"GBP";50000;"python";"max"
"healthcare";"INR";2e+06;"python";"max"
"healthcare";"USD";110782,6087;"python";"max"
"personal healthcare";"GBP";80000;"python";"max"
"personal healthcare";"USD";128157,8947;"python";"max"
"real estate";"EUD";45000;"python";"max"
"real estate";"GBP";55000;"python";"max"
"real estate";"INR";3e+05;"python";"max"
"real estate";"USD";119538,4615;"python";"max"
"education";"INR";30000;"python";"max"
"education";"USD";175000;"python";"max"
"digital music";"EUD";45000;"python";"max"
"digital music";"GBP";58800;"python";"max"
"digital music";"INR";1162500;"python";"max"
"digital music";"USD";104125;"python";"max"
