"date","stock_id","stock_name","broker","buy","sell","BS_Diff"
"2016-07-25",2330,"台積電","瑞士信貸",5705,1711,3994
"2016-07-25",2330,"台積電","港商麥格理",1492,200,1292
"2016-07-25",2330,"台積電","港商德意志",1415,156,1259
"2016-07-25",2330,"台積電","摩根大通",1352,137,1215
"2016-07-25",2330,"台積電","大和國泰",1473,300,1173
"2016-07-25",2330,"台積電","國泰證券",1867,1041,826
"2016-07-25",2330,"台積電","元大證券",1366,838,528
"2016-07-25",2330,"台積電","永豐金證券",708,269,439
"2016-07-25",2330,"台積電","美林",1820,1483,337
"2016-07-25",2330,"台積電","香港上海匯",211,0,211
"2016-07-25",2330,"台積電","凱基證券",1240,1066,174
"2016-07-25",2330,"台積電","港商野村",132,0,132
"2016-07-25",2330,"台積電","第一金",122,74,48
"2016-07-25",2330,"台積電","法銀巴黎",64,20,44
"2016-07-25",2330,"台積電","華南永昌",107,75,32
"2016-07-25",2330,"台積電","新加坡商瑞",1842,3957,-2115
"2016-07-25",2330,"台積電","宏遠證券",6,1430,-1424
"2016-07-25",2330,"台積電","美商高盛",583,1966,-1383
"2016-07-25",2330,"台積電","台灣摩根士",1875,3210,-1335
"2016-07-25",2330,"台積電","中國信託",36,1159,-1123
"2016-07-25",2330,"台積電","統一",91,1187,-1096
"2016-07-25",2330,"台積電","臺銀",38,733,-695
"2016-07-25",2330,"台積電","富邦證券",201,779,-578
"2016-07-25",2330,"台積電","東方匯理",226,646,-420
"2016-07-25",2330,"台積電","花旗環球",863,1188,-325
"2016-07-25",2330,"台積電","群益金鼎",264,566,-302
"2016-07-25",2330,"台積電","元富",187,428,-241
"2016-07-25",2330,"台積電","合庫證券",34,247,-213
"2016-07-25",2330,"台積電","兆豐證券",470,594,-124
"2016-07-25",2330,"台積電","國票證券",56,142,-86
"2016-07-26",2330,"台積電","台灣摩根士",8374,1344,7030
"2016-07-26",2330,"台積電","瑞士信貸",4202,2326,1876
"2016-07-26",2330,"台積電","國泰證券",2460,929,1531
"2016-07-26",2330,"台積電","永豐金證券",1893,782,1111
